job_id,job_name,company_name,company_url,update_date,url,status,job_description,job_category,salary,job_type,location,management,business_trip,work_time,vacation,start_work,headcount,work_exp,education,major,language,skills,tools,certificates,other_requirements,legal_benefits,other_benefits,raw_benefits,contact_info,actively_hiring,applicants,created_at
7bozi2026-01-27,軟體開發工程師 (策略程式),優式資本股份有限公司,,2026-01-27,https://www.104.com.tw/job/7bozi?jobsource=joblist_list,active,"【Responsibilities】
1. 與交易團隊合作，負責開發與維運交易系統。
2. 與開發團隊合作優化現有交易系統，並提供更佳解決方案。

【Required Qualifications】
1. 4年以上軟體開發工程師經驗，且具有以下經驗將優先考慮：
- 熟悉股票/期貨的交易流程
- 具股票/期貨策略程式開發經驗（如：接收券商行情/介接券商API下單...等）
2. 具備多核心程式效能分析能力。
3. 熟悉 WINDOWS 系統，且擅長 C#。
4. 獨立思考，具問題解決能力。
5. 當責且追求卓越。注重細節，對成果負責。
6. 重視團隊合作且對工作充滿熱情。

【Preferred Qualifications】
1. 熟悉金融交易知識，且對於金融市場具有高度熱情。
2. 良好的溝通協調能力。",軟體工程師,"年薪1,600,000~3,200,000元取得專屬你的薪水報告",全職,台北市信義區信義路五段7號（101大樓）52樓A室,不需負擔管理責任,無需出差外派,日班,週休二日,不限,2人,4年以上,大學以上,不拘,不拘,系統架構規劃、軟體工程系統開發、軟體程式設計,C#,,,週休二日、勞保、健保、特別休假、員工體檢,年終獎金、三節獎金/禮品、零食櫃、咖啡吧、員工進修補助、旅遊補助、健身費用補助、部門聚餐、慶生會、社團活動、免費下午茶、電影觀賞、優於勞基法特休、員工團體保險,"▮ 極具競爭優勢的薪資、績效獎金與分紅獎金，以及每半年的調薪。隨著公司成長我們也會提供夥伴更優渥的待遇

▮ 各類獎金 / 津貼
- 三節禮金及禮品
- 轉介獎金 50 萬，優秀人才等你來推薦
- 每年任選自己與家人的專屬生日禮
- 午餐津貼，享用午餐不負擔
- 旅遊津貼 2 萬元，由公司幫你負擔旅遊費用!
- 健身與健康食品津貼 1 萬元

▮ 優於勞基法休假制度
- 到職當年度即享 7 天年假且超休不扣薪
- 台灣股市休市日，我們也跟著休息
- Premium Friday，每月任選一天週五下午休假

▮ 持續成長與學習
- 多元進修補助
- 不定期內部教育訓練：投資觀念、股票市場、交易策略、程式與技術訓練等

▮ 互動交流
- 每月慶生會及下午茶
- 雙周二員工午餐日，由你挑選當周想吃什麼!
- 年終晚會，尾牙摸彩人人有獎
- Team Building，每季多元團體互動

▮ 夥伴健康
- 健檢補助與健檢假
- 每周團體運動日
- 每周健走鼓勵，達成目標周周有小禮物
- 員工專屬 AED，定期訓練及考照

▮ 工作環境
- 無限量零食、飲料、咖啡
- 每位夥伴配備雙螢幕與升降桌

▮ 其他
我們的福利太多了，一時間無法列舉，所以我們只能列出大家最喜歡的幾點，我們的福利會隨著公司的成長持續調整，歡迎對優式有興趣的夥伴加入我們一起探索！","UC Capital HR
合適者將於7個工作天內主動聯繫，不合適者將不另行通知",false,6~10,2026-01-28 07:51:13.179317+00
7bswk2026-01-26,[台北]音訊軟體工程師,安富科技股份有限公司,,2026-01-26,https://www.104.com.tw/job/7bswk?jobsource=joblist_bact_n,active,"Android/Linux降噪消回音(ECNR)演算法與其他音訊處理軟體移植。
音訊處理軟體在DSP上的開發、fixed-point移植與驗證。
C/C++程式開發與最佳化，包括運算速度、時間延遲、準確性與DSP功率消耗等。
音訊處理引擎的問題分析與維護。
協助開發在Deep Neural Network架構下的音訊處理相關演算法。",軟體工程師,待遇面議,全職,台北市內湖區瑞光路258巷31號5樓,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1人,不拘,大學以上,不拘,不拘,,Linux、Android、C、C++,,"熟悉運算資源最佳化，包括MCPS/MIPS、記憶體佔用率等。
熟悉以下平台操作，如Qualcom、HiFi、ARM等。
具備良好C/C++編程技能與系統整合知識。
具備代碼開發、修改能力，並能利用版本管控平台進行管控。
擁有良好溝通能力與團隊合作精神。
具備音訊處理演算法，如迴音消除、雙講偵測、噪訊抑制等，軟體效能調適與問題解決能力尤佳。
具備Deep Learning相關知識尤佳。",週休二日、勞保、健保、陪產假、產假、特別休假、女性生理假、安胎假、產檢假,年終獎金、三節獎金/禮品、不扣薪病假、結婚禮金、生育津貼、旅遊補助、下午茶、員工團體保險,"一、獎金類
1. 中秋／端午節金（第一年依到職比例計算）
2. 年終獎金（第一年依到職比例計算）
3. 季度獎金（依公司規定之名單、第一年依到職比例計算）

二、保險類
1. 勞保／健保／勞退
2. 出差旅平險
3. 團體保險(公司承擔)

三、休閒類
1. 年終尾牙
2. 常備有現磨咖啡機／零食區
3. 水池步道休息區（嘉義廠）

四、請／休假制度
1. 周休二日／特休／總公司彈性上下班（09:00～10:00至18:00～19:00）
2. 日班周休二日(配合加班) / 特休 (上班時間 8:00 – 17:00 )（嘉義廠）
3. 年度全薪病假7日／女性同仁生理假／陪產假／產檢假／家庭照顧假

五、補助類
1. 差旅津貼
2. 結婚禮金／生育禮金／婚喪喜慶補助
3. 福委會提供的相關補貼（依每年預算規畫調整）",張先生/蕭先生/黃先生,false,0~5,2026-01-28 08:50:29.680531+00
7bybs2026-01-28,【純遠端】遊戲公司 誠徵 資深級JAVA 工程師,台灣英特艾倫人力資源有限公司,https://www.104.com.tw/company/1a2x6bj0ov?jobsource=joblist_bact_n,2026-01-28,https://www.104.com.tw/job/7bybs?jobsource=joblist_bact_n,draft,,,,,,,,,,,,,,,,,,,,,,,,false,,2026-01-28 10:26:21.344919+00
7bz5w2026-01-28,Android Developer 安卓App軟體工程師 (台中),微碧愛普科技有限公司,,2026-01-28,https://www.104.com.tw/job/7bz5w?jobsource=joblist_list,active,"【工作內容】
1. 維護及開發現有 Android App -「微碧愛點餐App」
2. 開發、除錯、測試、上架
3. 與 UI / UX、前後端和行銷客服團隊討論合作並優化產品
4. 主管交辦事項

【必備技能】
1. 熟悉 Android 開發技術，使用Java 或 Kotlin 兩年以上的Android App開發經驗
2. 了解基本 HTTP 協定、Restful API串接經驗
3. 熟悉 Git flow
4. 在 Google Play 有上架作品 (個人開發或團隊負責人)",軟體工程師、其他資訊專業人員、Android工程師,"月薪48,000~60,000元取得專屬你的薪水報告",全職,台中市西屯區台灣大道二段659號8樓,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1人,2年以上,專科以上,資訊管理相關、資訊工程相關、工業工程相關,"英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂
提升英文能力
提升英文能力",系統架構規劃、軟體工程系統開發、軟體程式設計,Android、Java、Kotlin,,,週休二日、家庭照顧假、勞保、健保、陪產假、產假、特別休假、育嬰留停、女性生理假、勞退提撥金、產檢假、員工體檢,年終獎金、三節獎金/禮品、零食櫃、咖啡吧、生日假、社團補助、停車費補助、員工進修補助、交通津貼補助、電信費補助、國內旅遊、社團活動、配發公務機、免費下午茶、電影觀賞、不用補班、員工體檢假,"▮ 團隊與夥伴
1. 開放對話的組織文化
2. 自由彈性工作氛圍
3. 尊重夥伴獨立自主管理

▮ 工作配備
1. Mac搭配大螢幕
2. 自由調整人體工學椅

▮ 薪資獎金及休假福利
1. 具產業競爭力的薪資水平
2. 年度Review及調薪計畫
3. 端午、中秋、年終獎金開心過節
4. 團體保險（含壽險、意外險、醫療險）
5. 生日當月享生日假

▮ 夥伴激勵及成長計畫
1. 職務多元化訓練課程
2. 內訓工作坊
3. 外訓學習課程
4. 職涯進修補助金

▮ 健康及休閒娛樂
1. 免費辦公室午餐
2. 辦公室常備餅乾零食，工作之餘隨時補充能量
3. 全自動咖啡機＋牛奶，上班儀式感滿滿
4. 二年一次企業健檢照顧你的身體
5. 每月一次團隊下午茶時光

▮ 聚會與活動
1. 聖誕節、年終尾牙活動
2. 羽球社、登山社、瑜珈社
3. 季企業活動
4. 社團成立補助金",Wells,false,0~5,2026-01-28 09:02:42.902817+00
7c0i62026-01-15,軟體工程師-台北,輝創電子股份有限公司,,2026-01-15,https://www.104.com.tw/job/7c0i6?jobsource=joblist_list,active,"1、嵌入式系統驅動與影像應用開發
2、軟體系統整合，包含framework / AI model porting與 Third-party Solutions整合",軟體工程師,待遇面議,全職,新北市中和區中正路959號5樓,不需負擔管理責任,需出差，一年累積時間未定,"日班
0830~1730",週休二日,不限,1人,3年以上,碩士以上,電機電子工程相關,"英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等
提升英文能力
提升英文能力",,C、C++、Java,,具車用電子相關產品開發經驗。,哺乳室、週休二日、家庭照顧假、勞保、健保、陪產假、產假、特別休假、育嬰留停、女性生理假、勞退提撥金、安胎假、產檢假、就業保險、防疫照顧假、員工體檢、職災保險,年終獎金、三節獎金/禮品、員工餐廳、醫務室、結婚禮金、生育津貼、社團補助、員工進修補助、外語學習補助、國內旅遊、國外旅遊、社團活動、員工停車位、特約商店、內部講師鐘點費、停車位、伙食津貼、員工團體保險,"1.享勞、健、團保
2.團膳
3.生日慶生
4.員工旅遊、聚餐
5.年終尾牙與抽獎
6.三節禮券
7.年度員工身體健康檢查
8.各項員工活動
9.內、外部教育訓練
10.外語進修補助
11.員工婚喪喜慶津貼
12.不定期各大車廠購車優惠專案",莊小姐,false,0~5,2026-01-28 09:14:27.009188+00
7c3672026-01-27,軟體開發工程師,美康生物科技有限公司,,2026-01-27,https://www.104.com.tw/job/7c367?jobsource=joblist_list,active,"工作內容:
1. 負責產品Android app 應用程式開發
2. Android開發環境搭建，並符合產品設計需求
3. 進行軟體測試與修改，負責維護與bug修正。
4. 撰寫相關開發文件
5. 配合新產品軟體需求，進行API串接資料及開發

其他條件:
1. 具備android與Java或delphi開發經驗兩年以上
2. 具備android SDK開發經驗
3. 熟練使用SVN或其他版本控制工具
4. 熟悉MySQL數據庫開發
5. 至少有兩款android產品相關項目開發經驗，並展示研發作品
擅長工具:
Android, Delphi, C, Java, SVN",軟體工程師,"月薪40,000~50,000元取得專屬你的薪水報告",全職,台中市西區台灣大道二段186號23樓之2,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1人,不拘,專科、大學、碩士,電機電子工程相關,不拘,,,,,,,"1. 週休二日、特休/年假、陪產及陪產檢假等
2. 勞保、健保、退休金提撥
3. 年節(終)禮金、員工生日禮金、結婚禮金、旅遊補助
4. 尾牙、不定期聚餐、國內外員工旅遊
5. 依公司獲利情況加發績效獎金
6. 提供免費咖啡、點心BAR等下午茶
7. 升遷速度快、加薪快",簡雅雪,false,0~5,2026-01-28 07:41:11.045603+00
7c51d2026-01-27,軟體工程師(視訊面試),由田新技股份有限公司,,2026-01-27,https://www.104.com.tw/job/7c51d?jobsource=joblist_list,active,"1.設備操作/設備問題回報/軟體問題回報
2.安裝新版程式與現場測試",軟體工程師,待遇面議,全職,新北市中和區連城路268號10樓之1 (另在台中/台南/高雄設有辦公室),不需負擔管理責任,需出差，一年累積時間未定,"日班
09:00~17:30",週休二日,不限,不限,1年以上,大學、碩士,數學及電算機科學學科類、工程學科類,"英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂
提升英文能力
提升英文能力",,C、C#、C++,,"1.熟PC/網路設定與使用
2.熟悉介面/報表 程式工具與製作
3.熟電腦硬體與軟體系統安裝及操作 
4.具備軟體開發或測試經歷佳。",哺乳室,三節獎金/禮品、零食櫃、咖啡吧、健身器材、結婚禮金、生育津貼、社團補助、員工進修補助、員工教育獎助學金、旅遊補助、住院慰問金、部門聚餐、社團活動,"本公司配合營運績效的表現，提供每一位優秀同仁優渥的薪資福利措施。
◎ 薪酬、獎金制度： 
§ 公司營運表現優於同業，薪資水準也高於同業!
§ 【新進演算法、軟體應用工程師】年薪14個月以上!
§ 【高級演算法工程師】起薪10萬!!
§ 【資深業務專員】起薪7萬!!
§ 【資深機械設計工程師】起薪7萬!!
§ 【年終獎勵金】
§ 【端午節、中秋節禮金】
§ 【營運績效獎金】
§ 【專利獎金】 
§ 【提案獎金】
§ 【其他獎勵制度】 
§ 【員工酬勞(分紅)】

◎ 教育訓練：
§ 新人引導與通識訓練
§ 定期實施各項專業教育訓練
§ 導入數位精英學習系統
§ 支持專業充實與興趣發展的訓練補助經費

◎ 員工福利：
§ 每日上班工時7小時 
§ 每日午休1.5小時
§ 工作滿一年享有 7天「公司假」
§ 特休假
§ 年度旅遊補助金
§ 喜慶婚喪生育禮金
§ 員工生日禮券
§ 私車公用損害補償
§ 各類社團活動及社團補助
§ 每季部門員工聚餐
§ 年度健康檢查 
§ 每年一次週五半日遊活動
§ 舉辦獎金豐厚的團體競賽
§ 每月彈性可遲到五次
§ 員工集乳室
§ 依出勤表現由公司買單提供地下室機車停車位
§ 無限供應香醇研磨咖啡及精緻點心
§ 提供加班同仁愛心晚餐
§ 提供夏季與冬季員工制服
§ 多功能圖書館
§ 員工專屬健身房",人資處,false,0~5,2026-01-28 07:40:55.484335+00
7c7ew2026-01-23,資深軟體工程師,日盛台駿國際租賃股份有限公司,,2026-01-23,https://www.104.com.tw/job/7c7ew?jobsource=joblist_list,active,"【工作內容】
1.資訊系統開發及維護。
2.程式設計、測試、及相關文件撰寫。
3.資訊專案規劃與執行，需跨部門溝通與協調。",軟體工程師、Internet程式設計師、MIS程式設計師,待遇面議,全職,台北市中山區松江路68號5樓,不需負擔管理責任,無需出差外派,"日班
08:30~17:30",週休二日,一個月內,1人,5年以上,專科、大學、碩士,資訊工程相關、資訊管理相關,不拘,資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,ASP.NET、C#、MS SQL、JavaScript、jQuery、Angular,,"1.擅長ASP.NET、C#、MS SQL及JavaScript／jQuery
2.熟練撰寫 SQL Server 資料庫語法，具資料庫設計與效能優化經驗。
3.具備 MVC、Angular 及 .NET Core開發經驗尤佳
4.具備 RWD開發經驗尤佳
5.熟悉 前端框架與後端 API 的整合與資料交換流程，具備良好的系統架構概念。
6.熟悉 版本控制工具，如 TFS 或 Git，能有效進行團隊協作與版本管理。
7.熟悉MS Office
8.工作態度積極，願意學習，具團隊合作精神",哺乳室、週休二日、家庭照顧假、勞保、健保、陪產假、產假、特別休假、育嬰留停、女性生理假、勞退提撥金、安胎假、產檢假、就業保險、防疫照顧假、員工體檢、職災保險,年終獎金、三節獎金/禮品、員工舒壓按摩、結婚禮金、生育津貼、國內旅遊、國外旅遊、部門聚餐、慶生會、家庭日、內部講師鐘點費、伙食津貼、員工團體保險,"一、薪酬制度
　　績效獎金、業績獎金、年終獎金、年節禮金

二、福利制度
　1. 完善保險：勞/健保、勞退、團體保險、免費定期健康檢查、醫師諮詢服務
　2. 國內外員工旅遊補助(視當年度營運狀況舉辦)：
　　2023年度-越南蜆港、2019 年度-韓國首爾、2018 年度-日本四國、2017 年度-大陸山東、2016 年度-澳洲雪梨、
　　2015 年度-泰國華欣、2014 年度-日本九州、2013 年度-日本京阪、2012 年度-日本北海道
　3. 家庭照護：婚喪生育補助、育兒津貼、子女教育補助、急難救助補助
　4. 多元社團：桌球社、羽球社、保齡球社、核心肌力瑜珈社、戶外活動社、志工社
　5. 生活福利：部門慶生會/聚餐補助、按摩師服務
　6. 休假制度：退休制度、特別休假制度、志工假
　7. 員工購車優惠貸款
　8. 集團活動：共識營活動、尾牙旺年晚會、日盛台駿親子日、公益活動

三、學習與發展
　1. 完整紮實的培訓制度
　2. 豐富多元的學習管道（外聘講師與線上課程）
　3. 外部訓練補助、EMBA進修補助
　4. 連續獲得勞動力發展署訓練品質(TTQS)評核「銀牌」認證",人資部,false,0~5,2026-01-28 08:50:25.967809+00
7cewn2026-01-28,D4000 Java軟體開發工程師(金流),富邦媒體科技股份有限公司(富邦momo),,2026-01-28,https://www.104.com.tw/job/7cewn?jobsource=joblist_list,active,"1. 負責全方位金流系統相關專案，包括分析、設計、開發和維運，依個人能力合理分配專案。

2. 開發 API、排程、報表產出。進階工作負責需求分析、架構規劃，以及 DB schema 設計。

3. 參與金流支付平台專案，包括 mo幣、Line pay、街口支付、ATM、IBON、悠遊付、信用卡、第三方支付等。

4. 後端佔比 70%，熟練使用 Spring Boot；前端佔比 30%，使用 reactJS，具備 hook 經驗佳（熟悉 Angular 或 Vue 等前端框架，想增加reactJS技能）。

5. 持續進行程式碼和系統性能優化。

6. 使用的技術： Oracle、PostgreSQL、REDIS、MONGODB、Rabbit MQ、Linux、Docker。

7. 本職位結合金流整合開發與數據分析，同時注重風險控管。

歡迎具備相應技能且充滿熱情的 Java 工程師加入我們的團隊，一同打造卓越的電商金流體驗！ 


**資深者可再另議薪資**",Internet程式設計師、軟體工程師、其他資訊專業人員,待遇面議,全職,台北市內湖區,不需負擔管理責任,無需出差外派,"日班
09:00~18:00",依公司規定,一個月內,1~2人,2年以上,專科以上,不拘,不拘,軟體程式設計,Linux、OOAD、Git、Java、Spring、Oracle、PL/SQL、PostgreSQL、Tomcat、jQuery、ReactJS,,"1. 熟SQL語法。
2. 熟Java開發架構與Spring Boot。
3. 具專案開發與管理經驗者佳。
4. 了解網路技術架構及應用，能執行整體解決方案者佳。
5. 懂資料庫應用相關者佳。
6. 具訂購、財務系統開發運維經驗者佳。


* 如經面試錄取後，報到時須繳交「體格檢查表(一般)」，請於報到前自行至醫療機構辦理體檢 *

2024Career",哺乳室、週休二日、家庭照顧假、勞保、健保、陪產假、產假、特別休假、育嬰留停、女性生理假、勞退提撥金、安胎假、產檢假、就業保險、防疫照顧假、員工體檢、職災保險,年終獎金、特殊節日獎金禮品、咖啡吧、健身器材、員工舒壓按摩、醫務室、結婚禮金、生育津貼、社團補助、旅遊補助、部門聚餐、社團活動、員工優惠、特約商店、下午茶、伙食津貼、員工團體保險,"【薪資與福利】
1. 獎勵措施-依員工的績效表現發放「年終獎金」及「激勵性獎酬」
2. 彈性工時-員工可彈性自行選擇上下班時間
3. 安心保險-除依法應提供之勞健保、勞退外，另有員工及眷屬團體保險
4. 禮金及補助-中秋禮金、端午禮金、結婚禮金、生育津貼、生日禮金、子女教育補助金、國內外旅遊補助
5. 促進員工關係-幸福下午茶、社團活動、年終尾牙活動
6. 員工持股信託方案-由員工及公司定額相對提撥購買公司股票(依公司規章辦理)
7. 關懷員工健康-定期員工健康檢查、員眷健檢優惠方案
8. 鼓勵員工紓壓-免費肩頸按摩服務、員工購物優惠、國內外旅遊補助
9. 福委會相關福利事項依當年度規劃辦理

【人才發展】
我們有完善的訓練發展及升遷制度，包括： 
1. 新進同仁教育訓練及mentor制度 
2. 個人職能訓練、管理職能訓練、專業技能訓練
3. 順暢透明的升遷管道
4. 依照不同職位給予不同職能規劃的訓練藍圖


“歡迎原住民及身心障礙身份者加入momo團隊!!!”",HR,false,6~10,2026-01-28 08:38:22.688914+00
7cfo52026-01-21,資訊前端工程師(臺北市信義區)(X),鼎漢國際工程顧問股份有限公司,,2026-01-21,https://www.104.com.tw/job/7cfo5?jobsource=joblist_list,active,"作為鼎漢智慧運輸系統的前端軟體工程師，您將投入到最新的核心產品開發工作，
在已經實際上線的系統上，與夥伴再打造最新的物聯網、AI數據分析系統。

需求能力：
1. 至少1-2年開發經驗（例如：架構設計 / 流程設計 / 除錯 / 效能調整）
2. 熟悉至少一種前端開發框架，例如React、Angular 以上。
3. 精通網頁基礎知識，例如：HTML、CSS、JavaScript
4. 熟悉RWD網頁設計與開發
5. API 製作及串接
6. 具備解決問題的能力

加分項目：有作品集",軟體工程師、Internet程式設計師、資料庫管理人員,待遇面議,全職,台北市信義區松山路130號5樓,不需負擔管理責任,無需出差外派,"日班
日班、0800-0930am ~ 1700-1830pm ) 工作時間8小時，上班時間彈性1.5小時)",週休二日,兩週內,1人,不拘,大學以上,資訊管理相關、運輸管理相關、數學及電算機科學學科類,不拘,,HTML、JavaScript、CSS、Angular,,"加分項目：有作品集

**本公司依據原住民族工作權保障法及採購法之定額僱用員額規定，歡迎或優先僱用原住民**

(薪資資訊)
學士畢業：38,000元-42,000元
碩士畢業：48,000元-52,000元",哺乳室、週休二日、家庭照顧假、勞保、健保、陪產假、產假、特別休假、育嬰留停、勞退提撥金、產檢假、就業保險、防疫照顧假、員工體檢、職災保險,年終獎金、三節獎金/禮品、結婚禮金、生育津貼、社團補助、員工進修補助、旅遊補助、國內旅遊、國外旅遊、部門聚餐、慶生會、社團活動、員工團體保險,"法定項目：
勞保/健保/就保/職災保險/
退休金提撥/週休二日/陪產假/育嬰假/生理假/特別休假/產假/員工體檢

一般員工
保險類：員工團保
公假類：樂活公假/補班日公假/颱風天公假
餐飲類：誤餐費/下午茶補助/
娛樂類：國內旅遊補助/國外旅遊補助/員工聚餐/慶生會
補助類：員工結婚補助/生育補助/子女托育津貼
教育類：員工國內、外進修補助/員工在職教育訓練
其他類：/年度調薪、升遷、輪調制度


定期員工
員工團保
年終獎金、調薪(依表現)
其他福利：三節禮品/生日禮金/下午茶補助/尾牙活動與禮金",人資室 劉小姐,false,0~5,2026-01-28 11:15:09.415044+00
7cgs52026-01-26,Software Engineer / 軟體工程師,生德奈生物科技股份有限公司,,2026-01-26,https://www.104.com.tw/job/7cgs5?jobsource=joblist_list,active,"1. Design and develop desktop software for microbioreactor instruments and their associated experiment analysis tools. 
2. Collaborate with software and firmware teams to bring exciting new prototypes to life. Work closely with marketing and applications teams to continuously enhance the software user experience. 
3. Gather requirements for roadmap tickets, provide solution plans or prototypes, and communicate with different functional teams to identify optimal solutions. 
4. Perform basic software Quality Control (QC) tests to ensure the software meets specifications and is stable for handover to the QA team for integration testing. 
5. Support FAE, FAS, QA, and production teams by investigating issue reports. This involves analyzing running log files or performing testing to diagnose root causes, then fixing software bugs or proposing design improvements for issues stemming from poor UI/UX. 
6. Prepare fundamental technical documentation to aid understanding of software development or to serve as drafts for the PM team. Such documents include software release notes, workflow explanations for specific functions, and new function proposals. 
7. Proactively manage your time and workload, effectively prioritizing tasks to meet project timelines and contribute to company and R&D OKRs. When encountering blockers, you'll need to communicate with supervisors or teammates to resolve them or propose workarounds to meet project goals. 


Job description: 
We are seeking a highly motivated Junior Software Engineer to join our dynamic R&D team. In this role, you will play a key part in the development and continuous improvement of our desktop software for microbioreactor instruments and experiment analysis. You will collaborate closely with various teams to bring innovative solutions to life and ensure a seamless user experience.",其他特殊工程師、電子產品系統工程師、軟體工程師,待遇面議,全職,台北市中山區中山北路三段22號,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1人,1年以上,大學以上,資訊工程相關、其他數學及電算機科學相關,"英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通
提升英文能力
提升英文能力",系統架構規劃、軟硬體設備成本控制、軟體工程系統開發、軟體品質與保證、韌體工程開發、韌體整合測試,Github、Git、HTML、JavaScript、CSS、Node.js、Figma、D3.js,,"Your Qualifications: 
1. Successfully completed studies in Computer Science, Software Engineering, or a comparable technical field. 
2. Hands-on experience in frontend web development. Familiar with JavaScript, HTML/CSS, Node.js, and at least one frontend framework (React.js is preferred). 
3. Capable of translating Figma designs into dynamic user interfaces. 
4. Basic understanding of backend control or API concepts, and experience integrating with firmware to control instruments. 
5. Hands-on experience in desktop application development, with a preference for Electron.js. 
6. Familiarity with Git version control. 
7. Experience with data visualization tools, with a preference for D3.js. 
8. Strong analytical and problem-solving skills. Ability to define problems, collect data, establish facts, and draw valid conclusions independently. 
9. Highly motivated and eager to learn new technologies quickly. 
10. Possesses an open and collaborative style; comfortable working in an environment where ideas are shared and challenged. 
11. Familiar with ESLint, Webpack, component-based architecture, test-driven development (TDD), and the single responsibility principle, with an understanding of how to prevent code smells. 
12. Hands-on experience in UI/UX design, wireframing tools (like Figma), or web/app product design is a plus. 
13. Experience working on commercial engineering software is a plus. 
14. Fluent in English is a plus. 
15. Experience with Python or C# is a plus.",週休二日、家庭照顧假、勞保、健保、陪產假、產假、特別休假、育嬰留停、女性生理假、勞退提撥金、安胎假、產檢假、員工體檢,員工紅利、員工認股、零食櫃、咖啡吧、生活工作諮詢、醫療輔助、部門聚餐、下午茶、優於勞基法特休,"1. 週休二日，彈性管理
2. 優於勞基法之特休假辦法
3. 年度健檢補貼
4. 健全薪資制度、勞保、健保、勞退
5. 員工股票選擇權
6. 不定期聚餐及年度尾牙
7. 咖啡及Tea Break點心",HR陳先生,false,6~10,2026-01-28 09:38:35.311574+00
7cib92026-01-23,軟體工程師_Java_101A,金財通商務科技服務股份有限公司,,2026-01-23,https://www.104.com.tw/job/7cib9?jobsource=joblist_list,active,"我們致力於銀行開放系統，舉凡你用過的就學貸款申請，個金服務或是網路銀行網站及手機應用程式可能都是我們為各大銀行所規劃的作品。
我們服務的行庫包含了臺灣銀行、土銀銀行、臺企銀、玉山銀行等各大銀行，專注於銀行領域系統的設計和開發，我們需要熱誠的工程師協同團隊合作，並將客戶需求及想法實現，成為穩固可靠的系統，推上網路供大家使用。

【資格條件】
1. 熟悉Spring(Spring MVC、Spring Boot)、JPA
2. 熟悉JavaScript、jQuery、Ajax
3. 工作態度積極、負責，願意主動學習並重視團隊合作
4. 1年以上程式開發實務經驗

【工作內容】
1.開發及維護金融業應用系統程式
2.在每個功能的開發週期，與團隊成員共同討論出最關鍵功能並思考如何實作
3.根據測試後所蒐集到的資訊與回饋，在後續的開發週期中調整修正
4.評估適合的技術工具及框架，協助改善產品開發流程及測試工作

【其他】
若有以下使用經驗更佳
1.使用過DB2資料庫
2.使用過Linux或AIX作業系統

【備註】
工作經驗___1__年以上：面議",軟體工程師,待遇面議,全職,台北市中山區中山北路三段22號8樓,不需負擔管理責任,無需出差外派,"日班
09:00-18:00",週休二日,不限,1~2人,1年以上,專科、大學、碩士,不拘,不拘,軟體程式設計、網路程式設計、資料庫程式設計,AIX、Linux、Windows Server 2019、Git、Java、DB2、MS SQL、Tomcat、WebSphere、J2EE、JavaScript、jQuery,,持有經濟部能力鑑定(iPAS)證書者優先面試! ISE,週休二日、家庭照顧假、勞保、健保、陪產假、產假、特別休假、女性生理假、勞退提撥金、安胎假、產檢假、防疫照顧假、員工體檢,年終獎金、三節獎金/禮品、特殊節日獎金禮品、結婚禮金、生育津貼、員工進修補助、住院慰問金、國內旅遊、部門聚餐、員工團體保險,"【獎金制度/禮品類】
◆保障年薪13個月
◆年終獎金
◆三節獎金/禮品、勞動節獎品/禮品
◆生日禮金
◆年度調薪制度
◆推薦獎金：鼓勵內部同仁推薦人才，為公司邀約更多優秀夥伴

【安全保障與福利】
◆勞健保
◆退休金提撥
◆員工團保/眷屬
◆陪產假/育嬰假/家庭照顧假
◆女性同仁生理假
◆特別休假：優於勞基法的特休規定，到職即享有
◆健康服務諮詢：每月護理師駐點諮詢服務，健康問題不煩惱

【休閒娛樂】
◆旅遊補助：每年固定旅遊補助，讓您開心出遊充電
◆員工聚餐：部門聚餐、慶功，同事維繫好感情
◆娛樂活動：定期舉辦交流活動，如志工活動、節慶烤肉聚會、運動型羽球競賽等

【完善訓練制度】重視人才發展，讓職涯更全面
◆基礎職能/專業技能訓練：根據自身專業領域找到適當的課程
◆管理階層訓練：內部教育訓練培訓規劃
◆教育訓練補助：內外部之專業與技術課程、證照考試補助

【其他福利】
◆自購電腦補助
◆自選式福利：自由選擇補助運用
◆員工福儲信託
◆定期健康檢查：我們重視每位員工的健康，提供特約診所檢查服務
◆婚喪喜慶補助：結婚禮金、生育津貼、住院慰問金、喪葬補助等",林先生,false,0~5,2026-01-28 10:50:55.863836+00
