survey_id,user_id,career_preference,skill_self_assessment,salary_min,salary_max,location_preference,remote_preference,career_motivation,completed_at,updated_at,questionnaire_response,personality
11,37,"[""Data Scientist"",""Data Analyst""]","{""R"":2,""Python"":1,""Statistics"":3}",40000,60000,台北市,hybrid,"{""reason"":""生醫研究過程接觸大量數據分析，希望將統計背景轉換為資料科學職涯""}",2026-03-04 09:00:00+00,2026-03-04 09:00:00+00,"{""module_a"":{""q5_devops"":""ftp_git_pull"",""q8_domain"":""生命科學／生物醫學"",""q3_backend"":""script_only"",""q6_ai_data"":""api_only"",""q2_frontend"":""no_experience"",""q4_database"":[],""q7_security"":""framework_default"",""q1_languages"":[]},""module_b"":{""q14_process"":""no_process"",""q15_english"":""translate_dependent"",""q13_learning"":""wait_for_project"",""q10_tech_choice"":""just_learned"",""q12_code_review"":""formalism"",""q9_troubleshoot"":""restart"",""q11_communication"":""passive_follow""},""module_c"":{""q18_industry"":""big_tech"",""q17_target_role"":""data_scientist"",""q16_current_level"":""entry_level"",""q19_search_status"":""active_urgent""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""technical_growth"",""financial_reward"",""work_life_balance""],""q22_career_type"":""specialist"",""q23_learning_style"":[""video_courses"",""hands_on_projects""]}}","{""trait_created_at"":""2026-03-04T09:00:00Z"",""trait_raw_scores"":{""decision"":2,""learning"":3,""transfer"":5,""ambiguity"":0,""structure"":10},""primary_archetype"":""STRUCTURE_ARCHITECT"",""trait_raw_responses"":{""Q1"":""C"",""Q2"":""A"",""Q3"":""C"",""Q4"":""B"",""Q5"":""A"",""Q6"":""B"",""Q7"":""B"",""Q8"":""A"",""Q9"":""A"",""Q10"":""A""},""secondary_archetypes"":[""CROSS_DOMAIN_INTEGRATOR""],""trait_normalized_scores"":{""decision"":43,""learning"":50,""transfer"":86,""ambiguity"":29,""structure"":100}}"
12,38,"[""Frontend Engineer"",""UI Engineer""]","{""CSS"":2,""HTML"":2,""JavaScript"":1}",38000,55000,新北市,hybrid,"{""reason"":""行銷工作中頻繁與工程師溝通成本高，希望自己動手實現創意，轉往前端發展""}",2026-03-04 09:05:00+00,2026-03-04 09:05:00+00,"{""module_a"":{""q5_devops"":""ftp_git_pull"",""q8_domain"":""行銷／消費者行為"",""q3_backend"":""script_only"",""q6_ai_data"":""api_only"",""q2_frontend"":""no_experience"",""q4_database"":[],""q7_security"":""framework_default"",""q1_languages"":[]},""module_b"":{""q14_process"":""no_process"",""q15_english"":""slow_reading"",""q13_learning"":""hoarding"",""q10_tech_choice"":""just_learned"",""q12_code_review"":""formalism"",""q9_troubleshoot"":""restart"",""q11_communication"":""passive_follow""},""module_c"":{""q18_industry"":""startup"",""q17_target_role"":""frontend"",""q16_current_level"":""entry_level"",""q19_search_status"":""passive_observing""},""module_d"":{""q21_pressure"":""tend_to_decline"",""q20_values_top3"":[""work_life_balance"",""culture_fit"",""technical_growth""],""q22_career_type"":""generalist"",""q23_learning_style"":[""video_courses"",""documentation""]}}","{""trait_created_at"":""2026-03-04T09:05:00Z"",""trait_raw_scores"":{""decision"":3,""learning"":5,""transfer"":3,""ambiguity"":3,""structure"":0},""primary_archetype"":""LEARNING_ACCELERATOR"",""trait_raw_responses"":{""Q1"":""B"",""Q2"":""D"",""Q3"":""B"",""Q4"":""A"",""Q5"":""B"",""Q6"":""A"",""Q7"":""A"",""Q8"":""B"",""Q9"":""A"",""Q10"":""C""},""secondary_archetypes"":[],""trait_normalized_scores"":{""decision"":57,""learning"":70,""transfer"":57,""ambiguity"":71,""structure"":0}}"
13,39,"[""Backend Engineer"",""Python Developer""]","{""Flask"":1,""Python"":1}",40000,58000,桃園市,on-site,"{""reason"":""退伍後想習得一技之長，軟體工程師薪資高且市場需求穩定，參加 Bootcamp 積極轉職中""}",2026-03-04 09:10:00+00,2026-03-04 09:10:00+00,"{""module_a"":{""q5_devops"":""ftp_git_pull"",""q8_domain"":""無"",""q3_backend"":""script_only"",""q6_ai_data"":""api_only"",""q2_frontend"":""no_experience"",""q4_database"":[],""q7_security"":""framework_default"",""q1_languages"":[]},""module_b"":{""q14_process"":""no_process"",""q15_english"":""translate_dependent"",""q13_learning"":""fixed_schedule"",""q10_tech_choice"":""popular_stars"",""q12_code_review"":""formalism"",""q9_troubleshoot"":""log_search"",""q11_communication"":""direct_reject""},""module_c"":{""q18_industry"":""software_house"",""q17_target_role"":""backend"",""q16_current_level"":""entry_level"",""q19_search_status"":""student_training""},""module_d"":{""q21_pressure"":""accept_without_hesitation"",""q20_values_top3"":[""financial_reward"",""technical_growth"",""status""],""q22_career_type"":""specialist"",""q23_learning_style"":[""hands_on_projects"",""mentorship_community""]}}","{""trait_created_at"":""2026-03-04T09:10:00Z"",""trait_raw_scores"":{""decision"":5,""learning"":6,""transfer"":2,""ambiguity"":5,""structure"":0},""primary_archetype"":""AMBIGUITY_NAVIGATOR"",""trait_raw_responses"":{""Q1"":""B"",""Q2"":""B"",""Q3"":""A"",""Q4"":""A"",""Q5"":""B"",""Q6"":""A"",""Q7"":""A"",""Q8"":""A"",""Q9"":""B"",""Q10"":""C""},""secondary_archetypes"":[""RAPID_DECISION_MAKER"",""LEARNING_ACCELERATOR""],""trait_normalized_scores"":{""decision"":86,""learning"":80,""transfer"":43,""ambiguity"":100,""structure"":0}}"
14,40,"[""Data Analyst"",""Business Intelligence Engineer""]","{""Excel"":4,""Statistics"":2}",42000,62000,台中市,hybrid,"{""reason"":""財務工作大量使用 Excel，希望進一步學習 Python/SQL 提升分析能力，轉往數據分析方向""}",2026-03-04 09:15:00+00,2026-03-04 09:15:00+00,"{""module_a"":{""q5_devops"":""ftp_git_pull"",""q8_domain"":""財務／會計／FinTech"",""q3_backend"":""script_only"",""q6_ai_data"":""api_only"",""q2_frontend"":""no_experience"",""q4_database"":[],""q7_security"":""framework_default"",""q1_languages"":[]},""module_b"":{""q14_process"":""agile_scrum"",""q15_english"":""slow_reading"",""q13_learning"":""hoarding"",""q10_tech_choice"":""team_familiarity"",""q12_code_review"":""formalism"",""q9_troubleshoot"":""restart"",""q11_communication"":""alternative_solution""},""module_c"":{""q18_industry"":""traditional_digital"",""q17_target_role"":""data_scientist"",""q16_current_level"":""entry_level"",""q19_search_status"":""passive_observing""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""financial_reward"",""work_life_balance"",""status""],""q22_career_type"":""generalist"",""q23_learning_style"":[""documentation"",""books""]}}","{""trait_created_at"":""2026-03-04T09:15:00Z"",""trait_raw_scores"":{""decision"":2,""learning"":2,""transfer"":2,""ambiguity"":0,""structure"":9},""primary_archetype"":""PRAGMATIC_REFINER"",""trait_raw_responses"":{""Q1"":""A"",""Q2"":""A"",""Q3"":""C"",""Q4"":""B"",""Q5"":""A"",""Q6"":""B"",""Q7"":""B"",""Q8"":""B"",""Q9"":""C"",""Q10"":""A""},""secondary_archetypes"":[],""trait_normalized_scores"":{""decision"":43,""learning"":40,""transfer"":43,""ambiguity"":29,""structure"":90}}"
15,41,"[""Full Stack Engineer"",""Frontend Engineer""]","{""CSS"":2,""Figma"":4,""JavaScript"":1}",42000,65000,台北市,hybrid,"{""reason"":""UI 設計師工作中對前端實作充滿好奇，希望打通設計到實作的完整能力鏈，轉型全端工程師""}",2026-03-04 09:20:00+00,2026-03-04 09:20:00+00,"{""module_a"":{""q5_devops"":""ftp_git_pull"",""q8_domain"":""UI／UX 設計"",""q3_backend"":""script_only"",""q6_ai_data"":""api_only"",""q2_frontend"":""no_experience"",""q4_database"":[],""q7_security"":""framework_default"",""q1_languages"":[]},""module_b"":{""q14_process"":""no_process"",""q15_english"":""slow_reading"",""q13_learning"":""fixed_schedule"",""q10_tech_choice"":""popular_stars"",""q12_code_review"":""style_check"",""q9_troubleshoot"":""log_search"",""q11_communication"":""alternative_solution""},""module_c"":{""q18_industry"":""startup"",""q17_target_role"":""fullstack"",""q16_current_level"":""entry_level"",""q19_search_status"":""active_urgent""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""culture_fit"",""technical_growth"",""social_impact""],""q22_career_type"":""generalist"",""q23_learning_style"":[""hands_on_projects"",""video_courses"",""mentorship_community""]}}","{""trait_created_at"":""2026-03-04T09:20:00Z"",""trait_raw_scores"":{""decision"":2,""learning"":6,""transfer"":6,""ambiguity"":5,""structure"":1},""primary_archetype"":""AMBIGUITY_NAVIGATOR"",""trait_raw_responses"":{""Q1"":""B"",""Q2"":""C"",""Q3"":""A"",""Q4"":""A"",""Q5"":""A"",""Q6"":""A"",""Q7"":""A"",""Q8"":""A"",""Q9"":""A"",""Q10"":""D""},""secondary_archetypes"":[""LEARNING_ACCELERATOR""],""trait_normalized_scores"":{""decision"":43,""learning"":80,""transfer"":100,""ambiguity"":100,""structure"":10}}"
16,11,"{""industry"":""big_tech"",""target_role"":""devops_sre"",""current_level"":""senior"",""search_status"":""passive_open""}","{""Go"":3,""Python"":4,""Terraform"":4,""Kubernetes"":4}",65000,100000,Hsinchu,hybrid,"{""reason"":""累積 4 年雲端架構經驗，希望進入大廠深化 SRE 能力與規模化系統設計""}",2026-03-04 10:00:00+00,2026-03-04 10:00:00+00,"{""module_a"":{""q5_devops"":""k8s_cicd"",""q8_domain"":""Cloud Infrastructure, Multi-cloud Architecture"",""q3_backend"":""db_auth_testing"",""q6_ai_data"":""pandas_numpy"",""q2_frontend"":""basic_html_css"",""q4_database"":[""rdbms_sql"",""key_value_cache"",""nosql_document""],""q7_security"":""audit_devsecops"",""q1_languages"":[{""name"":""Python"",""score"":4},{""name"":""Go"",""score"":3},{""name"":""Bash"",""score"":3}]},""module_b"":{""q14_process"":""process_optimization"",""q15_english"":""fluent_reading"",""q13_learning"":""deep_dive_sharing"",""q10_tech_choice"":""tradeoff_analysis"",""q12_code_review"":""architecture_solid"",""q9_troubleshoot"":""incident_analysis"",""q11_communication"":""value_driven""},""module_c"":{""q18_industry"":""big_tech"",""q17_target_role"":""devops_sre"",""q16_current_level"":""senior"",""q19_search_status"":""passive_open""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""technical_growth"",""financial_reward"",""work_life_balance""],""q22_career_type"":""specialist"",""q23_learning_style"":[""official_docs"",""hands_on_projects"",""books""]}}","{""trait_created_at"":""2026-03-04 11:10:00Z"",""trait_raw_scores"":{""decision"":4,""learning"":3,""transfer"":5,""ambiguity"":2,""structure"":7},""primary_archetype"":""STRUCTURE_ARCHITECT"",""trait_raw_responses"":{""Q1"":""C"",""Q2"":""B"",""Q3"":""A"",""Q4"":""B"",""Q5"":""A"",""Q6"":""B"",""Q7"":""B"",""Q8"":""A"",""Q9"":""A"",""Q10"":""A""},""secondary_archetypes"":[""PRAGMATIC_REFINER"",""CROSS_DOMAIN_INTEGRATOR""],""trait_normalized_scores"":{""decision"":71,""learning"":50,""transfer"":86,""ambiguity"":57,""structure"":70}}"
17,12,"{""industry"":""big_tech"",""target_role"":""backend"",""current_level"":""senior"",""search_status"":""passive_open""}","{""C++"":5,""Java"":4,""Python"":4,""System Design"":5}",70000,110000,New Taipei,hybrid,"{""reason"":""博士研究深厚系統設計背景，希望進入大廠發揮分散式系統專業""}",2026-03-04 10:05:00+00,2026-03-04 10:05:00+00,"{""module_a"":{""q5_devops"":""k8s_cicd"",""q8_domain"":""Distributed Systems, High-Performance Computing"",""q3_backend"":""distributed_system"",""q6_ai_data"":""rag_langchain"",""q2_frontend"":""basic_html_css"",""q4_database"":[""rdbms_sql"",""key_value_cache"",""search_engine""],""q7_security"":""auth_rbac"",""q1_languages"":[{""name"":""C++"",""score"":5},{""name"":""Python"",""score"":4},{""name"":""Java"",""score"":4}]},""module_b"":{""q14_process"":""process_optimization"",""q15_english"":""global_comm"",""q13_learning"":""deep_dive_sharing"",""q10_tech_choice"":""tradeoff_analysis"",""q12_code_review"":""architecture_solid"",""q9_troubleshoot"":""incident_analysis"",""q11_communication"":""value_driven""},""module_c"":{""q18_industry"":""big_tech"",""q17_target_role"":""backend"",""q16_current_level"":""senior"",""q19_search_status"":""passive_open""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""technical_growth"",""financial_reward"",""social_impact""],""q22_career_type"":""specialist"",""q23_learning_style"":[""official_docs"",""books"",""hands_on_projects""]}}","{""trait_created_at"":""2026-03-04 11:11:00Z"",""trait_raw_scores"":{""decision"":2,""learning"":3,""transfer"":5,""ambiguity"":2,""structure"":9},""primary_archetype"":""STRUCTURE_ARCHITECT"",""trait_raw_responses"":{""Q1"":""C"",""Q2"":""A"",""Q3"":""A"",""Q4"":""B"",""Q5"":""A"",""Q6"":""B"",""Q7"":""B"",""Q8"":""A"",""Q9"":""A"",""Q10"":""A""},""secondary_archetypes"":[""CROSS_DOMAIN_INTEGRATOR""],""trait_normalized_scores"":{""decision"":43,""learning"":50,""transfer"":86,""ambiguity"":57,""structure"":90}}"
18,13,"{""industry"":""software_house"",""target_role"":""fullstack"",""current_level"":""entry_level"",""search_status"":""student_training""}","{""Python"":3,""HTML/CSS"":3,""JavaScript"":2}",35000,45000,Tainan,hybrid,"{""reason"":""在學中累積實習經驗，希望畢業後順利進入軟體業""}",2026-03-04 10:10:00+00,2026-03-04 10:10:00+00,"{""module_a"":{""q5_devops"":""paas_only"",""q8_domain"":""Web Applications, Student Projects"",""q3_backend"":""crud_api"",""q6_ai_data"":""api_consumer"",""q2_frontend"":""basic_html_css"",""q4_database"":[""rdbms_sql""],""q7_security"":""framework_default"",""q1_languages"":[{""name"":""Python"",""score"":3},{""name"":""JavaScript"",""score"":2},{""name"":""HTML/CSS"",""score"":3}]},""module_b"":{""q14_process"":""agile_scrum"",""q15_english"":""slow_reading"",""q13_learning"":""hoarding"",""q10_tech_choice"":""newest_tech"",""q12_code_review"":""style_check"",""q9_troubleshoot"":""log_search"",""q11_communication"":""alternative_solution""},""module_c"":{""q18_industry"":""software_house"",""q17_target_role"":""fullstack"",""q16_current_level"":""entry_level"",""q19_search_status"":""student_training""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""technical_growth"",""team_culture"",""work_life_balance""],""q22_career_type"":""generalist"",""q23_learning_style"":[""video_courses"",""hands_on_projects""]}}","{""trait_created_at"":""2026-03-04 11:12:00Z"",""trait_raw_scores"":{""decision"":1,""learning"":4,""transfer"":1,""ambiguity"":1,""structure"":2},""primary_archetype"":""LEARNING_ACCELERATOR"",""trait_raw_responses"":{""Q1"":""B"",""Q2"":""C"",""Q3"":""C"",""Q4"":""B"",""Q5"":""B"",""Q6"":""C"",""Q7"":""B"",""Q8"":""B"",""Q9"":""B"",""Q10"":""C""},""secondary_archetypes"":[],""trait_normalized_scores"":{""decision"":29,""learning"":60,""transfer"":29,""ambiguity"":43,""structure"":20}}"
19,14,"{""industry"":""big_tech"",""target_role"":""devops_sre"",""current_level"":""lead_architect"",""search_status"":""passive_open""}","{""Go"":3,""Python"":4,""Terraform"":5,""Kubernetes"":5}",90000,140000,Taipei,hybrid,"{""reason"":""10 年 DevOps 資歷，帶領過 10 人以上團隊，希望進大廠擴大影響力""}",2026-03-04 10:15:00+00,2026-03-04 10:15:00+00,"{""module_a"":{""q5_devops"":""iac_monitoring"",""q8_domain"":""Cloud Infrastructure, Platform Engineering, SRE"",""q3_backend"":""db_auth_testing"",""q6_ai_data"":""pandas_numpy"",""q2_frontend"":""basic_html_css"",""q4_database"":[""rdbms_sql"",""nosql_document"",""key_value_cache"",""data_warehouse""],""q7_security"":""audit_devsecops"",""q1_languages"":[{""name"":""Python"",""score"":4},{""name"":""Go"",""score"":3},{""name"":""Bash"",""score"":5}]},""module_b"":{""q14_process"":""process_optimization"",""q15_english"":""global_comm"",""q13_learning"":""deep_dive_sharing"",""q10_tech_choice"":""tradeoff_analysis"",""q12_code_review"":""architecture_solid"",""q9_troubleshoot"":""incident_analysis"",""q11_communication"":""value_driven""},""module_c"":{""q18_industry"":""big_tech"",""q17_target_role"":""devops_sre"",""q16_current_level"":""lead_architect"",""q19_search_status"":""passive_open""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""technical_growth"",""financial_reward"",""work_life_balance""],""q22_career_type"":""manager"",""q23_learning_style"":[""official_docs"",""hands_on_projects"",""mentorship_community""]}}","{""trait_created_at"":""2026-03-04 11:13:00Z"",""trait_raw_scores"":{""decision"":4,""learning"":5,""transfer"":5,""ambiguity"":4,""structure"":5},""primary_archetype"":""STRUCTURE_ARCHITECT"",""trait_raw_responses"":{""Q1"":""C"",""Q2"":""B"",""Q3"":""A"",""Q4"":""A"",""Q5"":""A"",""Q6"":""A"",""Q7"":""A"",""Q8"":""A"",""Q9"":""A"",""Q10"":""A""},""secondary_archetypes"":[""AMBIGUITY_NAVIGATOR"",""PRAGMATIC_REFINER"",""LEARNING_ACCELERATOR"",""CROSS_DOMAIN_INTEGRATOR""],""trait_normalized_scores"":{""decision"":71,""learning"":70,""transfer"":86,""ambiguity"":86,""structure"":50}}"
20,15,"{""industry"":""product_company"",""target_role"":""fullstack"",""current_level"":""mid_level"",""search_status"":""active_looking""}","{""React"":4,""Node.js"":3,""JavaScript"":4,""TypeScript"":3}",50000,70000,Taiwan,hybrid,"{""reason"":""2 年全端開發經驗，React/Node.js 為主，希望進入產品公司做更有影響力的產品""}",2026-03-04 10:20:00+00,2026-03-04 10:20:00+00,"{""module_a"":{""q5_devops"":""docker_basic"",""q8_domain"":""E-commerce, Content Platform"",""q3_backend"":""crud_api"",""q6_ai_data"":""api_consumer"",""q2_frontend"":""framework_spa"",""q4_database"":[""rdbms_sql"",""nosql_document""],""q7_security"":""owasp_basic"",""q1_languages"":[{""name"":""JavaScript"",""score"":4},{""name"":""TypeScript"",""score"":3},{""name"":""Python"",""score"":2}]},""module_b"":{""q14_process"":""agile_scrum"",""q15_english"":""fluent_reading"",""q13_learning"":""consistent_input"",""q10_tech_choice"":""team_familiarity"",""q12_code_review"":""logic_safety"",""q9_troubleshoot"":""log_search"",""q11_communication"":""alternative_solution""},""module_c"":{""q18_industry"":""product_company"",""q17_target_role"":""fullstack"",""q16_current_level"":""mid_level"",""q19_search_status"":""active_looking""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""technical_growth"",""team_culture"",""financial_reward""],""q22_career_type"":""generalist"",""q23_learning_style"":[""video_courses"",""hands_on_projects""]}}","{""trait_created_at"":""2026-03-04 11:14:00Z"",""trait_raw_scores"":{""decision"":2,""learning"":6,""transfer"":3,""ambiguity"":3,""structure"":1},""primary_archetype"":""LEARNING_ACCELERATOR"",""trait_raw_responses"":{""Q1"":""B"",""Q2"":""C"",""Q3"":""B"",""Q4"":""A"",""Q5"":""B"",""Q6"":""B"",""Q7"":""A"",""Q8"":""B"",""Q9"":""A"",""Q10"":""C""},""secondary_archetypes"":[],""trait_normalized_scores"":{""decision"":43,""learning"":80,""transfer"":57,""ambiguity"":71,""structure"":10}}"
21,16,"{""industry"":""product_company"",""target_role"":""data_engineer"",""current_level"":""entry_level"",""search_status"":""active_urgent""}","{""SQL"":4,""Spark"":3,""Python"":4,""Airflow"":2}",50000,70000,Taipei,hybrid,"{""reason"":""碩士研究主題為資料工程，熟悉 ETL pipeline 設計，積極尋找第一份正職""}",2026-03-04 10:25:00+00,2026-03-04 10:25:00+00,"{""module_a"":{""q5_devops"":""docker_basic"",""q8_domain"":""Data Engineering, ETL Pipeline, Analytics"",""q3_backend"":""db_auth_testing"",""q6_ai_data"":""pandas_numpy"",""q2_frontend"":""basic_html_css"",""q4_database"":[""rdbms_sql"",""nosql_document"",""data_warehouse""],""q7_security"":""framework_default"",""q1_languages"":[{""name"":""Python"",""score"":4},{""name"":""SQL"",""score"":4},{""name"":""Scala"",""score"":2}]},""module_b"":{""q14_process"":""agile_scrum"",""q15_english"":""fluent_reading"",""q13_learning"":""consistent_input"",""q10_tech_choice"":""tradeoff_analysis"",""q12_code_review"":""logic_safety"",""q9_troubleshoot"":""log_search"",""q11_communication"":""alternative_solution""},""module_c"":{""q18_industry"":""product_company"",""q17_target_role"":""data_engineer"",""q16_current_level"":""entry_level"",""q19_search_status"":""active_urgent""},""module_d"":{""q21_pressure"":""accept_immediately"",""q20_values_top3"":[""technical_growth"",""financial_reward"",""work_life_balance""],""q22_career_type"":""specialist"",""q23_learning_style"":[""official_docs"",""hands_on_projects"",""books""]}}","{""trait_created_at"":""2026-03-04 11:15:00Z"",""trait_raw_scores"":{""decision"":2,""learning"":3,""transfer"":5,""ambiguity"":0,""structure"":10},""primary_archetype"":""STRUCTURE_ARCHITECT"",""trait_raw_responses"":{""Q1"":""C"",""Q2"":""A"",""Q3"":""C"",""Q4"":""B"",""Q5"":""A"",""Q6"":""B"",""Q7"":""B"",""Q8"":""A"",""Q9"":""A"",""Q10"":""A""},""secondary_archetypes"":[""CROSS_DOMAIN_INTEGRATOR""],""trait_normalized_scores"":{""decision"":43,""learning"":50,""transfer"":86,""ambiguity"":29,""structure"":100}}"
22,17,"{""industry"":""product_company"",""target_role"":""mobile"",""current_level"":""mid_level"",""search_status"":""passive_open""}","{""Swift"":4,""Xcode"":4,""SwiftUI"":3,""Objective-C"":2}",55000,80000,Kaohsiung,remote,"{""reason"":""2 年 iOS 開發經驗，熟悉 Swift/SwiftUI，希望進入產品公司深化 Mobile 專業""}",2026-03-04 10:30:00+00,2026-03-04 10:30:00+00,"{""module_a"":{""q5_devops"":""docker_basic"",""q8_domain"":""Mobile Applications, iOS, Consumer Apps"",""q3_backend"":""crud_api"",""q6_ai_data"":""api_consumer"",""q2_frontend"":""basic_html_css"",""q4_database"":[""nosql_document"",""key_value_cache""],""q7_security"":""owasp_basic"",""q1_languages"":[{""name"":""Swift"",""score"":4},{""name"":""SwiftUI"",""score"":3},{""name"":""Objective-C"",""score"":2}]},""module_b"":{""q14_process"":""agile_scrum"",""q15_english"":""fluent_reading"",""q13_learning"":""consistent_input"",""q10_tech_choice"":""team_familiarity"",""q12_code_review"":""logic_safety"",""q9_troubleshoot"":""log_search"",""q11_communication"":""alternative_solution""},""module_c"":{""q18_industry"":""product_company"",""q17_target_role"":""mobile"",""q16_current_level"":""mid_level"",""q19_search_status"":""passive_open""},""module_d"":{""q21_pressure"":""prefer_health"",""q20_values_top3"":[""technical_growth"",""work_life_balance"",""team_culture""],""q22_career_type"":""specialist"",""q23_learning_style"":[""official_docs"",""hands_on_projects""]}}","{""trait_created_at"":""2026-03-04 11:16:00Z"",""trait_raw_scores"":{""decision"":3,""learning"":6,""transfer"":1,""ambiguity"":1,""structure"":1},""primary_archetype"":""LEARNING_ACCELERATOR"",""trait_raw_responses"":{""Q1"":""B"",""Q2"":""C"",""Q3"":""B"",""Q4"":""B"",""Q5"":""B"",""Q6"":""B"",""Q7"":""A"",""Q8"":""B"",""Q9"":""B"",""Q10"":""C""},""secondary_archetypes"":[],""trait_normalized_scores"":{""decision"":57,""learning"":80,""transfer"":29,""ambiguity"":43,""structure"":10}}"
23,18,"{""industry"":""product_company"",""target_role"":""backend"",""current_level"":""senior"",""search_status"":""passive_open""}","{""Go"":5,""gRPC"":4,""Python"":3,""Kubernetes"":3}",75000,110000,Taipei,hybrid,"{""reason"":""4 年 Golang 後端資歷，專注高併發 API 與 microservices，希望升任 Staff Engineer""}",2026-03-04 10:35:00+00,2026-03-04 10:35:00+00,"{""module_a"":{""q5_devops"":""k8s_cicd"",""q8_domain"":""FinTech, High-Concurrency API, Microservices"",""q3_backend"":""high_concurrency"",""q6_ai_data"":""api_consumer"",""q2_frontend"":""basic_html_css"",""q4_database"":[""rdbms_sql"",""key_value_cache"",""nosql_document""],""q7_security"":""auth_rbac"",""q1_languages"":[{""name"":""Go"",""score"":5},{""name"":""Python"",""score"":3},{""name"":""SQL"",""score"":4}]},""module_b"":{""q14_process"":""agile_scrum"",""q15_english"":""fluent_reading"",""q13_learning"":""deep_dive_sharing"",""q10_tech_choice"":""tradeoff_analysis"",""q12_code_review"":""architecture_solid"",""q9_troubleshoot"":""incident_analysis"",""q11_communication"":""value_driven""},""module_c"":{""q18_industry"":""product_company"",""q17_target_role"":""backend"",""q16_current_level"":""senior"",""q19_search_status"":""passive_open""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""technical_growth"",""financial_reward"",""work_life_balance""],""q22_career_type"":""specialist"",""q23_learning_style"":[""official_docs"",""books"",""hands_on_projects""]}}","{""trait_created_at"":""2026-03-04 11:17:00Z"",""trait_raw_scores"":{""decision"":4,""learning"":3,""transfer"":5,""ambiguity"":2,""structure"":7},""primary_archetype"":""STRUCTURE_ARCHITECT"",""trait_raw_responses"":{""Q1"":""C"",""Q2"":""B"",""Q3"":""A"",""Q4"":""B"",""Q5"":""A"",""Q6"":""B"",""Q7"":""B"",""Q8"":""A"",""Q9"":""A"",""Q10"":""A""},""secondary_archetypes"":[""PRAGMATIC_REFINER"",""CROSS_DOMAIN_INTEGRATOR""],""trait_normalized_scores"":{""decision"":71,""learning"":50,""transfer"":86,""ambiguity"":57,""structure"":70}}"
24,19,"{""industry"":""product_company"",""target_role"":""backend"",""current_level"":""mid_level"",""search_status"":""active_looking""}","{""SQL"":3,""Pytest"":4,""Python"":4,""Selenium"":4}",55000,75000,Taipei,hybrid,"{""reason"":""3 年 QA Automation 經驗，Python 測試框架熟悉，希望轉型後端工程師深化程式設計能力""}",2026-03-04 10:40:00+00,2026-03-04 10:40:00+00,"{""module_a"":{""q5_devops"":""docker_basic"",""q8_domain"":""QA Automation, Test Engineering, SaaS"",""q3_backend"":""db_auth_testing"",""q6_ai_data"":""api_consumer"",""q2_frontend"":""basic_html_css"",""q4_database"":[""rdbms_sql"",""nosql_document""],""q7_security"":""owasp_basic"",""q1_languages"":[{""name"":""Python"",""score"":4},{""name"":""SQL"",""score"":3},{""name"":""JavaScript"",""score"":2}]},""module_b"":{""q14_process"":""agile_scrum"",""q15_english"":""fluent_reading"",""q13_learning"":""consistent_input"",""q10_tech_choice"":""team_familiarity"",""q12_code_review"":""logic_safety"",""q9_troubleshoot"":""log_search"",""q11_communication"":""alternative_solution""},""module_c"":{""q18_industry"":""product_company"",""q17_target_role"":""backend"",""q16_current_level"":""mid_level"",""q19_search_status"":""active_looking""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""technical_growth"",""team_culture"",""work_life_balance""],""q22_career_type"":""generalist"",""q23_learning_style"":[""hands_on_projects"",""video_courses""]}}","{""trait_created_at"":""2026-03-04 11:18:00Z"",""trait_raw_scores"":{""decision"":2,""learning"":2,""transfer"":4,""ambiguity"":0,""structure"":9},""primary_archetype"":""STRUCTURE_ARCHITECT"",""trait_raw_responses"":{""Q1"":""A"",""Q2"":""A"",""Q3"":""C"",""Q4"":""B"",""Q5"":""A"",""Q6"":""B"",""Q7"":""B"",""Q8"":""B"",""Q9"":""A"",""Q10"":""A""},""secondary_archetypes"":[""CROSS_DOMAIN_INTEGRATOR""],""trait_normalized_scores"":{""decision"":43,""learning"":40,""transfer"":71,""ambiguity"":29,""structure"":90}}"
