ID,主要技能名稱,課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長,語言
23,JavaScript,Learn JavaScript,4.7,149 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/learn-javascript,Learn JavaScript,"Scripting, Data Persistence, Object Oriented Programming (OOP), Application Development, Mobile Development, Web Development, Web Applications, Computer Programming, Event-Driven Programming, Video Game Development, Javascript, Front-End Web Development, Debugging, Data Structures, JSON",,,Starts Feb 17,,,
24,JavaScript,Meta Front-End Developer,4.7,24K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/meta-front-end-developer,Meta Front-End Developer,"Unit Testing, User Interface and User Experience (UI/UX) Design, Javascript, Software Visualization, Design Research, Event-Driven Programming, Pseudocode, User Interface (UI), Debugging, User Experience, User Research, Software Versioning, Web Content Accessibility Guidelines, Linux Commands, User Experience Design, Usability",Introduction to Front-End Development | Programming with JavaScript | Version Control | HTML and CSS in depth | React Basics | Advanced React | Principles of UX/UI Design | Front-End Developer Capstone  | Coding Interview Preparation,,Starts Feb 17,P7M,P7M,en
25,Java,Java Programming and Software Engineering Fundamentals,4.6,22K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/java-programming,Java Programming and Software Engineering Fundamentals,"Software Engineering, Image Analysis, Computer Programming, Javascript, Event-Driven Programming, File I/O, Debugging, Data Import/Export, Software Design, Data Processing, Algorithms, Data Analysis, Program Development, AI Personalization, Statistical Analysis, Predictive Modeling, Encryption","Programming Foundations with JavaScript, HTML and CSS | Java Programming: Solving Problems with Software | Java Programming: Arrays, Lists, and Structured Data | Java Programming: Principles of Software Design | Java Programming: Build a Recommendation System",,Starts Feb 17,P6M,P6M,en
26,Java,Java Programming Fundamentals,4.7,190 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/java-programming-fundamentals,Java Programming Fundamentals,"Data Structures, Data Validation, Maintainability, Data Management, File Management, Computer Programming, Programming Principles, Development Environment, File I/O, Debugging, Software Design, Application Development, Program Development, Object Oriented Programming (OOP), Object Oriented Design, Java","Java Programming for Beginners | Object Oriented Programming in Java | Java App Development Project: Fundamentals, OOP & File I/O",,Starts Feb 17,P1M,P1M,en
27,Java,IBM Java Developer,4.6,7.4K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/java-developer,IBM Java Developer,"Engineering Software, Database Design, Cloud-Native Computing, Database Management, Version Control, Software Architecture, Software Design, CI/CD, Containerization, Object Oriented Programming (OOP), Responsive Web Design, Software Development Life Cycle","Introduction to Software Engineering | Java Programming for Beginners | Object Oriented Programming in Java | Java App Development Project: Fundamentals, OOP & File I/O | Introduction to HTML, CSS, & JavaScript | Getting Started with Git and GitHub | Spring Framework for Java Development | Java Development with Databases  | Cloud Native, Microservices, Containers, DevOps and Agile | Java: Design Patterns, Testing, and Deployment | Java Development Capstone Project | Generative AI: Elevate your Software Development Career | Generative AI for Java and Spring Development | Software Developer Career Guide and Interview Preparation",,Starts Feb 17,P3M,P3M,en
28,Java,Java Programming for Beginners,4.6,135 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/java-for-programming-beginners,Java Programming for Beginners,"Java, Java Programming, Debugging, File I/O, Object Oriented Programming (OOP), Integrated Development Environments, Development Environment, Computer Programming, Data Structures",,,Starts Feb 17,,,
29,Java,Introduction to Java,4.6,2.2K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/java-introduction,Introduction to Java,"Integrated Development Environments, Java, Programming Principles, Eclipse (Software), Debugging, Development Environment, Java Programming, Computer Programming, Object Oriented Programming (OOP)",,,Starts Feb 17,,,
30,Java,Java FullStack Developer,4.4,843 reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/java-fullstack,Java FullStack Developer,"Data Structures, Web Components, Software Design Patterns, Development Environment, Model View Controller, Javascript, Front-End Web Development, Object Oriented Programming (OOP), HTML and CSS, Angular, Object Oriented Design, Java",Fundamentals of Java Programming | Frontend for Java Full Stack Development | Data Structures & Backend with Java,,Starts Feb 17,P3M,P3M,en
31,Java,Core Java,4.6,2.8K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/core-java,Core Java,"Data Structures, Computer Programming, Programming Principles, Development Environment, File I/O, Debugging, Web Development, Software Design, Package and Software Management, Object Oriented Programming (OOP), Object Oriented Design, Java",Introduction to Java | Introduction to Object-Oriented Programming with Java | Object-Oriented Hierarchies in Java | Java Class Library,,Starts Feb 17,P2M,P2M,en
32,Java,Object Oriented Programming in Java,4.6,15K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/object-oriented-programming,Object Oriented Programming in Java,"Unit Testing, Data Structures, Software Engineering, Performance Tuning, Computer Programming, Event-Driven Programming, File I/O, User Interface (UI), Debugging, Problem Solving, Software Design, Interactive Data Visualization, Algorithms, Data Analysis, Object Oriented Programming (OOP), Cryptography, Object Oriented Design, Java","Java Programming: Solving Problems with Software | Java Programming: Arrays, Lists, and Structured Data | Object Oriented Programming in Java | Data Structures and Performance",,Starts Feb 17,P6M,P6M,en
33,Java,Programming with Java,4.2,88 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/programming-with-java,Programming with Java,"Data Structures, Java, Object Oriented Programming (OOP), Maintainability, Object Oriented Design, File I/O, Software Design, Debugging",,,Starts Feb 17,,,
34,Java,Oracle Java Foundations,4.6,38 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/oracle-java-foundations,Oracle Java Foundations,"Oracle Cloud, Computer Programming, Integrated Development Environments, Cloud Development, Object Oriented Programming (OOP), Development Environment, Java",,,Starts Feb 17,,,
35,Java,Object Oriented Java Programming: Data Structures and Beyond,4.7,7.2K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/java-object-oriented,Object Oriented Java Programming: Data Structures and Beyond,"Unit Testing, Data Structures, Graph Theory, Performance Tuning, Computer Programming, Event-Driven Programming, Social Network Analysis, User Interface (UI), Problem Solving, Network Analysis, Interactive Data Visualization, Algorithms, Adaptability, Object Oriented Programming (OOP), Growth Mindedness, Object Oriented Design, Technical Communication, Java",Object Oriented Programming in Java | Data Structures and Performance | Advanced Data Structures in Java | Mastering the Software Engineering Interview | Capstone: Analyzing (Social) Network Data,,Starts Feb 17,P4M,P4M,en
36,Java,Java Programming: Solving Problems with Software,4.6,8.1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/java-programming,Java Programming: Solving Problems with Software,"Software Design, Object Oriented Programming (OOP), Debugging, Algorithms, API Design, Computer Programming, Problem Solving, Java Programming, Java, File I/O, Data Processing, Data Analysis, Statistical Analysis, Software Documentation, Data Import/Export, Software Testing, Programming Principles, Integrated Development Environments, Data Manipulation, Program Development",,,Starts Feb 17,,,
37,TypeScript,AI Agents in Typescript/Javascript,4.8,7.7K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-agents-typescript-javascript,AI Agents in Typescript/Javascript,"Agentic systems, Version Control, Debugging, Multimodal Prompts, Productivity, Prompt Engineering Tools, Prompt Patterns, Generative AI Agents, AI Enablement, LLM Application",AI Agents in Typescript/Javascript with Generative AI | Prompt Engineering for ChatGPT | Claude Code: Software Engineering with Generative AI Agents,,Starts Feb 17,P2M,P2M,en
38,TypeScript,Learn Typescript,4.5,56 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/learn-typescript,Learn Typescript,"Server Side, Web Development Tools, Data Validation, Computer Programming, Web Design, Web Development, Javascript, TypeScript, React.js, Data Structures, Node.JS",,,Starts Feb 17,,,
39,TypeScript,Programming with JavaScript,4.7,4.9K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/programming-with-javascript,Programming with JavaScript,"Computer Programming, Unit Testing, Program Development, JSON, Debugging, Package and Software Management, Web Applications, Web Development Tools, Event-Driven Programming, Programming Principles, Data Structures, Object Oriented Programming (OOP), Development Environment, Jest (JavaScript Testing Framework), Functional Design, Node.JS, Front-End Web Development, Javascript",,,Starts Feb 17,,,
40,TypeScript,AI Agents in Typescript/Javascript with Generative AI,0,0 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/ai-agents-javascript-typescript,AI Agents in Typescript/Javascript with Generative AI,"File Systems, OpenAI API, Development Environment, Agentic systems, Artificial Intelligence, AI Workflows, Generative AI Agents, Programming Principles, Node.JS, Maintainability, Application Frameworks, Javascript, LLM Application, Debugging, TypeScript, Large Language Modeling, Generative AI, Program Development, Prompt Engineering",,,Starts Feb 17,,,
41,TypeScript,Modern Web Development with TypeScript,0,0 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/modern-web-development-with-typescript,Modern Web Development with TypeScript,"Software Design Patterns, Programming Principles, Full-Stack Web Development, Javascript, Software Development, Debugging, Web Development, Front-End Web Development, Back-End Web Development, Object Oriented Programming (OOP), React.js, Object Oriented Design, API Design",Getting Started with TypeScript | Advanced TypeScript with OOP | Frontend Web Development with TypeScript | Backend Web Development with TypeScript,,Starts Feb 17,P3M,P3M,en
42,TypeScript,AI Agents with Model Context Protocol & Typescript,4.8,8.3K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-agents-mode-context-protocol,AI Agents with Model Context Protocol & Typescript,"Agentic systems, Multimodal Prompts, Prompt Engineering Tools, Ideation, Prompt Patterns, Generative AI Agents, AI Enablement, Verification And Validation, LLM Application, AI Security",AI Agents with Model Context Protocol & Typescript | Prompt Engineering for ChatGPT | Claude Code: Software Engineering with Generative AI Agents | Trustworthy Generative AI,,Starts Feb 17,P1M,P1M,en
43,TypeScript,IBM Full-Stack JavaScript Developer,4.6,9.2K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer,IBM Full-Stack JavaScript Developer,"Engineering Software, Database Design, Cloud Deployment, Cloud-Native Computing, Javascript, Application Deployment, Software Architecture, CI/CD, Ajax, Responsive Web Design, Software Development Life Cycle","Introduction to Software Engineering | Introduction to HTML, CSS, & JavaScript | Getting Started with Git and GitHub | JavaScript Programming Essentials | Developing Front-End Apps with React | Developing Back-End Apps with Node.js and Express | Get Started with Cloud Native, DevOps, Agile, and NoSQL | Introduction to Containers w/ Docker, Kubernetes & OpenShift | Application Development using Microservices and Serverless  | Node.js & MongoDB: Developing Back-end Database Applications | JavaScript Full Stack Capstone Project | Software Developer Career Guide and Interview Preparation",,Starts Feb 17,P4M,P4M,en
44,TypeScript,TypeScript Variables and Data Types,4.4,101 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/typescript-variables-and-data-types,TypeScript Variables and Data Types,,,,,,,en
45,TypeScript,Typescript in React: Get started,4.6,23 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/rudi-hinds-typescript-react-get-started,Typescript in React: Get started,,,,,,,en
46,TypeScript,Getting Started with TypeScript,0,0 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/getting-started-with-typescript,Getting Started with TypeScript,"API Design, Maintainability, Object Oriented Programming (OOP), Debugging, Development Environment, Web Development Tools, Data Structures, Software Design Patterns, Programming Principles, TypeScript, Javascript",,,Starts Feb 17,,,
47,TypeScript,"JavaScript Programming with React, Node & MongoDB",4.4,1.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/javascript-programming-with-react-node-mongodb,"JavaScript Programming with React, Node & MongoDB","Data Structures, Performance Tuning, Database Design, Full-Stack Web Development, Javascript, Databases, Debugging, Front-End Web Development, Server Side, Ajax, Back-End Web Development, React.js, API Design",JavaScript Programming Essentials | Developing Front-End Apps with React | Developing Back-End Apps with Node.js and Express | Node.js & MongoDB: Developing Back-end Database Applications,,Starts Feb 17,P2M,P2M,en
48,TypeScript,Advanced JavaScript,4.6,17 reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/advanced-javascript,Advanced JavaScript,"Data Structures, Data Validation, Software Engineering, Maintainability, Data Management, Software Design Patterns, Performance Tuning, Programming Principles, Javascript, Event-Driven Programming, Software Development, Debugging, Web Development, Ajax, Object Oriented Programming (OOP), Scripting, Computational Logic, Prototyping","Advanced JavaScript 1: Objects, Loops, Hoisting | Advanced JavaScript 2: Async JS, APIs, Operators, Objects | Advanced JavaScript 3: Objects, Collections, Functions",,Starts Feb 17,P1M,P1M,en
49,C++,Introductory C Programming,4.6,7.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/c-programming,Introductory C Programming,"Data Structures, Software Engineering, Maintainability, Computer Programming, Software Testing, Programming Principles, Development Environment, File I/O, User Interface (UI), Software Development, Debugging, Problem Solving, Software Design, Simulations, Algorithms, Program Development, Solution Design, System Programming","Programming Fundamentals | Writing, Running, and Fixing Code in C | Pointers, Arrays, and Recursion | Interacting with the System and Managing Memory",,Starts Feb 17,P5M,P5M,en
50,C++,"C for Everyone, Part 1: Programming Fundamentals",4.5,6.8K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/c-for-everyone,"C for Everyone, Part 1: Programming Fundamentals","Programming Principles, Software Documentation",,,Starts Feb 17,,,
51,C++,C Programming for Everybody,4.5,241 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/c-programming-for-everybody,C Programming for Everybody,"Data Structures, Performance Tuning, Computer Programming, Programming Principles, Debugging, Software Design, Computer Science, Other Programming Languages, Computer Architecture, Algorithms, Object Oriented Programming (OOP), Application Security, System Programming",Exploring C  | Programming in C | Data Structures in C | Building Objects in C,,Starts Feb 17,P2M,P2M,en
52,C++,Coding for Everyone: C and C++,4.5,9.6K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/coding-for-everyone,Coding for Everyone: C and C++,"Data Structures, Graph Theory, Software Design Patterns, Computer Programming, Programming Principles, Software Documentation, Game Design, Debugging, Artificial Intelligence, Algorithms, Object Oriented Programming (OOP)","C for Everyone, Part 1: Programming Fundamentals | C for Everyone, Part 2: Structured Programming | C++ For C Programmers, Part A | C++ For C Programmers, Part B",,Starts Feb 17,P1M,P1M,en
53,C++,Programming in C,4.5,96 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/programming-c,Programming in C,"System Programming, Programming Principles, Algorithms, Data Structures, C (Programming Language), Other Programming Languages, C++ (Programming Language)",,,Starts Feb 17,,,
54,C++,C Programming with Linux,4.6,436 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/c-programming-linux,C Programming with Linux,"Software Engineering, Computer Engineering, Computer Programming, Programming Principles, Software Documentation, Software Visualization, File I/O, Linux Servers, Debugging, Embedded Systems, Computer Science, Computer Architecture, Algorithms, Linux Commands, System Programming, File Systems",C Programming: Getting Started - 1 | C Programming: Language Foundations - 2 | C Programming: Modular Programming and Memory Management - 3 | C Programming: Pointers and Memory Management - 4 | C Programming: Advanced Data Types - 5 | Linux Basics: The Command Line Interface - 6 | C Programming: Using Linux Tools and Libraries - 7,,Starts Feb 17,P2M,P2M,en
55,C++,Introduction to Programming With C#,4.6,109 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-to-programming-with-c-sharp,Introduction to Programming With C#,"Integrated Development Environments, C# (Programming Language), Microsoft Visual Studio, Debugging, Microsoft Copilot, Computer Programming, .NET Framework, Event-Driven Programming, Object Oriented Programming (OOP), Development Environment",,,Starts Feb 17,,,
56,C++,Microsoft Introduction to C++ Programming,4.4,11 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-introduction-to-c-plus-plus-programming,Microsoft Introduction to C++ Programming,"Data Structures, Data Validation, Maintainability, Computer Programming, Programming Principles, Software Documentation, Technical Documentation, Software Architecture, Pseudocode, Debugging, Software Design, Application Development, Computational Thinking, Program Development, Generative AI Agents, API Design, System Programming",C++ Programming Fundamentals | Intermediate C++ Programming Techniques | Object Oriented Programming with C++ | Advanced C++ Programming and Modern Practices,,Starts Feb 17,P4M,P4M,en
57,C++,Embedded Software Development with C,4.5,265 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/embedded-software-development-with-c,Embedded Software Development with C,"Data Structures, Electronics, Performance Tuning, Computer Programming, Programming Principles, Peripheral Devices, Development Environment, Control Systems, Electronic Hardware, Hardware Architecture, Debugging, Embedded Systems, Computer Programming Tools, Computer Architecture, Software Development Tools, System Programming, Microarchitecture",Embedded Systems using C | Embedded C Programming Essentials | ARM Cortex (STM32) Fundamentals: Building Embedded Systems | ARM Cortex (STM32) Deep Dive: Mastering Embedded Systems,,Starts Feb 17,P5M,P5M,en
58,C++,Embedded C Programming Essentials,4.8,71 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/embedded-c-programming-essentials,Embedded C Programming Essentials,"Embedded Systems, Debugging, Development Environment, Computer Programming Tools, Embedded Software, Electronics, C (Programming Language), Software Development Tools, Integrated Development Environments, Electronic Hardware",,,Starts Feb 17,,,
